Name,ReleaseDate,Label,Album,pop1,pop2,pop3,pop4,nonBandMemberWriters,lyricalComplexity,musicalComplexity,totalComplexity,Artist
Love Yourself,2015-11-13,Def Jam,Purpose (Deluxe),4.8826038995532235,4.131107757575415,0.8919190160511015,1.3563911347003939,2,-0.6925480914275823,-1.2147968909682882,-1.9073449823958706,Justin Bieber
Mark My Words,2015-11-13,Def Jam,Purpose (Deluxe),-0.33718405828218234,-0.338989254321234,0.3537604762746251,0.06259457676063164,2,-1.8180837751083534,0,-1.8180837751083534,Justin Bieber
Mistletoe,2011-10-17,Def Jam/Rbmg,under the Mistletoe (Deluxe Edition),-0.2728879338423182,-0.22961595313267172,0.7844284820301537,0.461851873217717,2,1.2211917751008765,-1.2643598179944613,-0.04316804289358478,Justin Bieber
Never Let you Go,2010-03-02,NA,My World 2.0,-0.3404229541069431,-0.34171547990519674,0.6642792446807787,-0.09726373909149509,2,-0.044014736108783994,0,-0.044014736108783994,Justin Bieber
Never Say Never,2010-06-08,Def Jam/Rbmg,Never Say Never - The Remixes,-0.1305877588569623,-0.1494117872360472,0.817879912577549,0.006650311242433041,5,-0.4259997575793722,0,-0.4259997575793722,Justin Bieber
No Pressure,2015-11-13,Def Jam,Purpose (Deluxe),-0.33791748937772076,-0.34291042943564953,0.22501025655844598,-0.44606883655161894,4,0.619364468686828,0,0.619364468686828,Justin Bieber
No Sense,2015-11-13,Def Jam,Purpose (Deluxe),-0.3400262467711982,-0.34910730252494915,0.12197007960770335,-0.14104835159359727,3,0.25001924824391475,0,0.25001924824391475,Justin Bieber
Nothing Like Us,2013-01-29,NA,NA,-0.34184850800100086,-0.3561098148974554,0.007355276914908161,-0.5473761312193914,0,-0.564411995855472,0,-0.564411995855472,Justin Bieber
One less Lonely Girl,2009-10-06,Def Jam,My World,-0.23018435873769644,-0.22103628703431166,0.7261197046659545,0.3109788903794793,2,-0.4938672127632626,0,-0.4938672127632626,Justin Bieber
One Time,2009-05-18,Def Jam/Rbmg,My World,0.20757549406380257,0.022674739465855933,0.7140475502121204,0.9313065482599818,4,-1.1429330548453651,0,-1.1429330548453651,Justin Bieber
Pray,2010-12-03,NA,under the Mistletoe (Deluxe Edition),-0.33770978508875066,-0.34480454870905397,-0.04235245931079,-0.39534893364653373,3,0.4939965314878322,0,0.4939965314878322,Justin Bieber
Pyd,2013-11-18,NA,Journals,-0.34274753602243074,-0.36029829682315656,0.12197007960770335,0.6733722360556722,5,-0.5671415433973064,0,-0.5671415433973064,Justin Bieber
Recovery,2013-10-28,NA,Journals,-0.3424765934729678,-0.357552538930594,0.3708966564040139,0.9493578037508136,4,0.4845174083606611,0,0.4845174083606611,Justin Bieber
Right Here,2013-02-05,NA,Believe (Deluxe Edition),-0.3431163250310519,-0.3640356401570817,-1.9655354295205485,-1.6410507573353446,3,-1.5878192526349482,0,-1.5878192526349482,Justin Bieber
Roller Coaster,2013-11-25,NA,Journals,-0.3426202684091806,-0.3590085545724766,0.2634815611842018,0.8302663977032979,3,0.5678909872749626,0,0.5678909872749626,Justin Bieber
Somebody to Love,2010-06-25,Island,My World 2.0,-0.17283880259315884,-0.17323957198013332,0.7380508260511459,0.11783648157471954,4,-0.88641672501323,0,-0.88641672501323,Justin Bieber
Sorry,2015-10-23,Def Jam,Purpose (Deluxe),3.865971279410694,4.544740794222866,0.8919190160511015,1.3052795448251855,4,0.1612987391602039,-0.6691301740750913,-0.5078314349148875,Justin Bieber
That Should be Me,2010-01-30,NA,My World 2.0,-0.34310048626663064,-0.36387512859289933,-1.5570331427742208,-1.188143169228747,3,-0.39443646158263557,0.7870717207594603,0.39263525917682474,Justin Bieber
That Should be Me,2010-01-30,NA,Never Say Never - The Remixes,-0.34310048626663064,-0.36387512859289933,-1.5570331427742208,-1.188143169228747,3,-0.38453327299301293,0.7870717207594603,0.40253844776644737,Justin Bieber
That Should be Me,2010-01-30,NA,My World 2.0,-0.34310048626663064,-0.36387512859289933,-1.5570331427742208,-1.188143169228747,3,-0.38453327299301293,0.7870717207594603,0.40253844776644737,Justin Bieber
That Should be Me,2010-01-30,NA,Never Say Never - The Remixes,-0.34310048626663064,-0.36387512859289933,-1.5570331427742208,-1.188143169228747,3,-0.39443646158263557,0.7870717207594603,0.39263525917682474,Justin Bieber
The Feeling,2015-11-13,Def Jam,Purpose (Deluxe),-0.32545913286183675,-0.3125254760487707,0.5280867812482345,0.09063070535414146,5,1.029552674500212,0,1.029552674500212,Justin Bieber
Trust,2015-11-13,NA,Purpose (Deluxe),-0.3431311940752023,-0.36418632448264066,-2.656834613987802,-2.40749602938237,3,-0.21531533072354947,0,-0.21531533072354947,Justin Bieber
u Smile,2010-08-09,NA,My World 2.0,-0.33758452469807476,-0.3370180524902411,0.5847610917180269,-1.193057738824932,3,-0.5086075944349947,0,-0.5086075944349947,Justin Bieber
What Do you Mean?,2015-08-28,NA,Purpose (Deluxe),2.4007822076065017,2.7398091663735826,0.8919190160511015,1.3784763745016868,2,-0.0706802827650979,0,-0.0706802827650979,Justin Bieber
Fairly Local,2015-03-17,Fueled by Ramen,Blurryface,-0.6860222128029686,-0.6819634666853049,-1.0620927492279846,-0.36445856484678774,0,-0.011941239840100235,0,-0.011941239840100235,Twenty One Pilots
Heathens,2016-06-16,Atlantic Records,NA,1.2711528808719743,1.740007786112567,1.1129499813324149,1.2259189955605798,0,1.0992948339899131,0,1.0992948339899131,Twenty One Pilots
Jumpsuit,2018-07-11,Fueled by Ramen,Trench,-0.6836712903721384,-0.6641256148573668,0.2930371990483694,0.12017457629467328,0,-0.8396011452969878,0,-0.8396011452969878,Twenty One Pilots
